Object,Time Step,Instance ID,Power Consumption
EdgeServer_1,114,1,190.74699999999999
EdgeServer_2,114,2,165.99599999999998
EdgeServer_3,114,3,66.9914
EdgeServer_4,114,4,66.9914
EdgeServer_5,114,5,74.50833333333334
EdgeServer_6,114,6,108.73333333333333
EdgeServer_1,115,1,178.37149999999997
EdgeServer_2,115,2,165.99599999999998
EdgeServer_3,115,3,66.9914
EdgeServer_4,115,4,66.9914
EdgeServer_5,115,5,74.50833333333334
EdgeServer_6,115,6,120.14166666666668
EdgeServer_1,116,1,178.37149999999997
EdgeServer_2,116,2,165.99599999999998
EdgeServer_3,116,3,66.9914
EdgeServer_4,116,4,66.9914
EdgeServer_5,116,5,74.50833333333334
EdgeServer_6,116,6,120.14166666666668
